lesson_id,video_id,name,lesson_url,forum_url,course_id
0,8SF_h3xF3cE,Lesson 1,https://course.fast.ai/Lessons/lesson1.html,https://forums.fast.ai/t/lesson-1-official-topic/95287,0
1,F4tvM4Vb3A0,Lesson 2,https://course.fast.ai/Lessons/lesson2.html,https://forums.fast.ai/t/lesson-2-official-topic/96033,0
2,hBBOjCiFcuo,Lesson 3,https://course.fast.ai/Lessons/lesson3.html,https://forums.fast.ai/t/lesson-3-official-topic/96254,0
3,toUgBQv1BT8,Lesson 4,https://course.fast.ai/Lessons/lesson4.html,https://forums.fast.ai/t/lesson-4-official-topic/96441,0
4,_rXzeWq4C6w,Lesson 5,https://course.fast.ai/Lessons/lesson5.html,https://forums.fast.ai/t/lesson-5-official-topic/96491,0
5,AdhG64NF76E,Lesson 6,https://course.fast.ai/Lessons/lesson6.html,https://forums.fast.ai/t/lesson-6-official-topic/96972,0
6,p4ZZq0736Po,Lesson 7,https://course.fast.ai/Lessons/lesson7.html,https://forums.fast.ai/t/lesson-7-official-topic/97076,0
7,htiNBPxcXgo,Lesson 8,https://course.fast.ai/Lessons/lesson8.html,https://forums.fast.ai/t/lesson-8-official-topic/97159,0
8,_7rMfsA24Ls,Lesson 9,,https://forums.fast.ai/t/lesson-9-official-topic/100562,1
9,0_BBRNYInx8,Lesson 9A,,https://forums.fast.ai/t/lesson-9-official-topic/100562,1
10,mYpjmM7O-30,Lesson 9B,,https://forums.fast.ai/t/lesson-9-official-topic/100562,1
11,6StU6UtZEbU,Lesson 10,,https://forums.fast.ai/t/lesson-10-official-topic/101171,1
12,_QUEXsHfsA0,Lesson 1,https://course20.fast.ai/videos/?lesson=1,https://forums.fast.ai/t/lesson-1-official-topic/65626,2
13,BvHmRx14HQ8,Lesson 2,https://course20.fast.ai/videos/?lesson=2,https://forums.fast.ai/t/lesson-2-official-topic/66294,2
14,5L3Ao5KuCC4,Lesson 3,https://course20.fast.ai/videos/?lesson=3,https://forums.fast.ai/t/lesson-3-official-topic/67244,2
15,p50s63nPq9I,Lesson 4,https://course20.fast.ai/videos/?lesson=4,https://forums.fast.ai/t/lesson-4-official-topic/68643,2
16,krIVOb23EH8,Lesson 5,https://course20.fast.ai/videos/?lesson=5,https://forums.fast.ai/t/lesson-5-official-topic/68039,2
17,cX30jxMNBUw,Lesson 6,https://course20.fast.ai/videos/?lesson=6,https://forums.fast.ai/t/lesson-6-official-topic/69306,2
18,VEG5xT5gAHc,Lesson 7,https://course20.fast.ai/videos/?lesson=7,https://forums.fast.ai/t/lesson-7-official-topic/69896,2
19,WjnwWeGjZcM,Lesson 8,https://course20.fast.ai/videos/?lesson=8,https://forums.fast.ai/t/lesson-8-official-topic/70494,2
20,gGxe2mN3kAg,Lesson 0,,,2
21,XfoYk_Z5AkI,Lesson 1,https://course19.fast.ai/videos/?lesson=1,https://forums.fast.ai/t/lesson-1-official-resources-and-updates/27936,3
22,ccMHJeQU4Qw,Lesson 2,https://course19.fast.ai/videos/?lesson=2,https://forums.fast.ai/t/lesson-2-official-resources-and-updates/28630,3
23,MpZxV6DVsmM,Lesson 3,https://course19.fast.ai/videos/?lesson=3,https://forums.fast.ai/t/lesson-3-official-resources-and-updates/29732,3
24,qqt3aMPB81c,Lesson 4,https://course19.fast.ai/videos/?lesson=4,https://forums.fast.ai/t/lesson-4-official-resources-and-updates/30317,3
25,CJKnDu2dxOE,Lesson 5,https://course19.fast.ai/videos/?lesson=5,https://forums.fast.ai/t/lesson-5-official-resources-and-updates/30863,3
26,hkBa9pU-H48,Lesson 6,https://course19.fast.ai/videos/?lesson=6,https://forums.fast.ai/t/lesson-6-official-resources-and-updates/31441,3
27,9spwoDYwW_I,Lesson 7,https://course19.fast.ai/videos/?lesson=7,https://forums.fast.ai/t/lesson-7-official-resources/32553,3
28,4u8FxNEDUeg,Lesson 8,https://course19.fast.ai/videos/?lesson=8,https://forums.fast.ai/t/lesson-1-official-resources-and-updates/27936,4
29,AcA8HAYh7IE,Lesson 9,https://course19.fast.ai/videos/?lesson=9,https://forums.fast.ai/t/lesson-2-official-resources-and-updates/28630,4
30,HR0lt1hlR6U,Lesson 10,https://course19.fast.ai/videos/?lesson=10,https://forums.fast.ai/t/lesson-3-official-resources-and-updates/29732,4
31,hPQKzsjTyyQ,Lesson 11,https://course19.fast.ai/videos/?lesson=11,https://forums.fast.ai/t/lesson-4-official-resources-and-updates/30317,4
32,vnOpEwmtFJ8,Lesson 12,https://course19.fast.ai/videos/?lesson=12,https://forums.fast.ai/t/lesson-5-official-resources-and-updates/30863,4
33,3TqN_M1L4ts,Lesson 13,https://course19.fast.ai/videos/?lesson=13,https://forums.fast.ai/t/lesson-6-official-resources-and-updates/31441,4
34,8wd8zFzTG38,Lesson 14,https://course19.fast.ai/videos/?lesson=14,https://forums.fast.ai/t/lesson-7-official-resources/32553,4
35,IPBSB1HLNLo,Lesson 1,https://course18.fast.ai/lessons/lesson1.html,http://forums.fast.ai/t/wiki-lesson-1,5
36,JNxcznsrRb8,Lesson 2,https://course18.fast.ai/lessons/lesson2.html,http://forums.fast.ai/t/wiki-lesson-2,5
37,9C06ZPF8Uuc,Lesson 3,https://course18.fast.ai/lessons/lesson3.html,http://forums.fast.ai/t/wiki-lesson-3,5
38,gbceqO8PpBg,Lesson 4,https://course18.fast.ai/lessons/lesson4.html,http://forums.fast.ai/t/wiki-lesson-4,5
39,J99NV9Cr75I,Lesson 5,https://course18.fast.ai/lessons/lesson5.html,http://forums.fast.ai/t/wiki-lesson-5,5
40,sHcLkfRrgoQ,Lesson 6,https://course18.fast.ai/lessons/lesson6.html,http://forums.fast.ai/t/wiki-lesson-6,5
